Username,PassWord,Role,LastName,FirstName,Gender,SocialID,Birthday
admin,admin,3,Admin,HCMUS,M,123456789123,01/01/2023
22127123,phihoang,1,Le Ho Phi,Hoang,M,079204123456,02/02/2004
22127026,giabao,1,On Gia,Bao,M,079204111222,03/03/2004
22127275,m2i0n0h4,1,Tran Anh,Minh,M,079204111333,04/04/2004
22127001,nva123,1,Nguyen Van,A,M,079204111444,05/05/2004
22127002,ltb321,1,Le Thi,B,F,079204111555,06/06/2004
22127003,tqc888,1,Tran Quoc,C,M,079204111666,07/07/2004
22127555,btd999,1,Banh Thi,D,F,079204111777,08/08/2004
22120214,cbe000,1,Cao Ba,E,M,079204111888,09/09/2004
22120547,ngocanh,1,Nguyen Ngoc,Anh,F,079204111999,10/10/2004
22120235,minhchau,1,Nguyen Minh,Chau,M,079204111998,11/11/2004
22120001,minhtrung,1,Le Vo Minh,Trung,M,079204111997,02/08/2004
22120002,anhkhoi,1,Hoang Anh,Khoi,M,079204111996,06/04/2004
22120003,quanglong,1,Mai Quang,Long,M,079204111995,13/12/2003
22120004,namkhanh,1,Nguyen Nam,Khanh,M,079204111994,31/12/2004
22120005,vananh,1,Nguyen Ha Van,Anh,F,079204111993,08/09/2004
22127333,hongphuc,1,Nguyen Hong,Phuc,M,079204111992,20/04/2004
22127475,giahuy,1,Diep Gia,Huy,M,079204111991,09/01/2004
22127488,phuongnam,1,Doan Dang Phuong,Nam,M,079204111990,10/10/2004
22127666,giahung,1,Nguyen Huu Gia,Hung,M,079204111981,18/04/2004
22127777,giahung,1,Nguyen Huu Gia,Hieu,M,079204111980,18/04/2004
23127001,tanchau,1,Nguyen Tan,Chau,M,079204111989,01/08/2005
23127002,luudanh,1,Lieu Hai Luu,Danh,M,079204111989,03/07/2005
23127003,vinhdat,1,Chau Vinh,Dat,M,079204111988,26/11/2005
23127004,tuandat,1,Do Phan Tuan,Dat,M,079204111987,09/04/2005
23127005,thanhdat,1,Pham Thanh,Dat,M,079204111986,19/03/2005
23127006,tiendat,1,Tran Anh Tien,Dat,M,079204111985,05/08/2005
23120007,hoangduc,1,Vo Hoang,Duc,M,079204111984,01/01/2005
23120008,quocdung,1,Pham Quoc,Dung,M,079204111983,19/10/2005
23120009,dinhhai,1,Do Dinh,Hai,M,079204111982,29/09/2005
dbtien,dbtien,2,Dinh Ba,Tien,M,079075121212,05/05/1975
dttha,dttha,2,Do Thi Thanh,Ha,F,079075121213,05/05/1976
vcnam,vcnam,2,Van Chi,Nam,M,079075121214,05/05/1977
ntphuong,ntphuong,2,Ngo Tuan,Phuong,M,079075121214,05/05/1978
bhthong,bhthong,2,Bui Huy,Thong,M,079075121215,05/05/1979
lttung,lttung,2,Le Thanh,Tung,M,079075121216,05/05/1980
nktung,nktung,2,Nguyen Khanh,Tung,M,079075121217,05/05/1981
ptpuyen,ptpuyen,2,Phan Thi Phuong,Uyen,F,079075121218,05/05/1982
gva,gva,2,GV,A,F,079075121219,05/05/1983
nvdong,nvdong,2,Nguyen Viet,Dong,M,079075121220,05/05/1984
htbtran,htbtran,2,Huynh Thuy Bao,Tran,F,079075121221,05/05/1985
ntquan,ntquan,2,Nguyen Thanh,Quan,M,079075121222,05/05/1986
laha,laha,2,Le Anh,Ha,M,079075121223,05/05/1987
nttnhung,nttnhung,2,Nguyen Thi Tuyet,Nhung,F,079075121224,05/05/1988
ntttrang,ntttrang,2,Nguyen Thi Thu,Trang,F,079075121225,05/05/1989
gvx,gvx,2,GV,X,M,079075121226,05/05/1990
gvy,gvy,2,GV,Y,M,079075121227,05/05/1991
